A,B,C,D,E,F
74.5,149,21.0887,42.1774,97.9074,195.815
64.4716,128.943,13.4754,26.9507,55.7055,111.411
49.0667,98.1334,94.2259,188.452,34.3071,68.6141
20.8512,41.7024,89.2596,178.519,92.8457,185.691
9.9814,19.9628,53.1709,106.342,60.6069,121.214
66.5427,133.085,22.1644,44.3289,90.6564,181.313
58.3884,116.777,81.3196,162.639,2.166,4.332
96.6106,193.221,30.2642,60.5283,73.6541,147.308
54.8894,109.779,32.3562,64.7123,11.9349,23.8698
76.9713,153.943,49.8322,99.6643,63.7269,127.454
56.8952,113.79,9.08046,18.1609,7.5944,15.1888
75.5339,151.068,27.5052,55.0105,40.5526,81.1053
2.41443,4.82885,44.9557,89.9115,55.7791,111.558
88.0693,176.139,58.4186,116.837,19.414,38.828
87.7081,175.416,63.1053,126.211,54.8441,109.688
79.1157,158.231,18.6403,37.2806,56.6735,113.347
34.9735,69.947,15.5104,31.0208,2.91019,5.82037
84.7402,169.48,98.0761,196.152,50.6171,101.234
84.1747,168.349,38.8105,77.6211,75.5012,151.002
27.1475,54.2949,47.6825,95.365,41.4727,82.9455
49.5193,99.0385,5.12929,10.2586,11.3775,22.755
57.4231,114.846,88.7246,177.449,60.7713,121.543
74.6536,149.307,76.5234,153.047,67.7722,135.544
35.4909,70.9819,23.9329,47.8657,91.6104,183.221
56.1972,112.394,23.8895,47.7789,80.9445,161.889
63.5677,127.135,13.397,26.7939,61.421,122.842
6.09424,12.1885,37.1996,74.3992,2.76082,5.52163
40.7417,81.4833,7.19614,14.3923,79.1519,158.304
33.2288,66.4576,37.1505,74.3009,85.514,171.028
44.8351,89.6701,21.8692,43.7383,6.80967,13.6193
90.7502,181.5,4.95867,9.91734,95.9045,191.809
58.8544,117.709,19.3325,38.665,94.9933,189.987
76.7555,153.511,23.682,47.3641,47.6612,95.3225
32.535,65.07,3.80673,7.61346,60.5101,121.02
52.2672,104.534,24.2433,48.4866,86.8011,173.602
66.7075,133.415,52.817,105.634,67.8423,135.685
76.5571,153.114,96.1175,192.235,13.7779,27.5559
22.4095,44.819,34.2729,68.5459,49.1282,98.2565
93.9706,187.941,12.2509,24.5019,60.3319,120.664
42.2964,84.5927,6.21526,12.4305,60.9013,121.803
83.4806,166.961,35.4626,70.9252,18.5034,37.0068
70.1615,140.323,46.9646,93.9291,5.95698,11.914
43.7155,87.431,90.4841,180.968,67.6626,135.325
42.783,85.5661,81.5358,163.072,87.0434,174.087
89.7809,179.562,26.4768,52.9537,32.3968,64.7936
92.1791,184.358,42.7401,85.4802,95.9041,191.808
42.9239,85.8477,54.008,108.016,75.8756,151.751
16.7099,33.4198,28.9462,57.8924,81.5917,163.183
26.226,52.452,66.3103,132.621,26.6117,53.2233
6.46767,12.9353,74.6341,149.268,71.6926,143.385
85.8296,171.659,50.0675,100.135,13.1093,26.2186
79.6797,159.359,78.6287,157.257,7.35361,14.7072
4.65677,9.31354,75.0211,150.042,39.2342,78.4685
70.2869,140.574,70.5597,141.119,28.0114,56.0229
98.1765,196.353,94.9175,189.835,27.9888,55.9776
29.6707,59.3413,20.9394,41.8789,7.08591,14.1718
83.9428,167.886,59.2502,118.5,33.3508,66.7017
86.1357,172.271,45.696,91.392,79.6683,159.337
17.003,34.0059,45.7642,91.5283,38.4815,76.963
31.7632,63.5264,70.363,140.726,82.4165,164.833
66.5992,133.198,49.4772,98.9544,42.0644,84.1289
89.4077,178.815,49.5841,99.1682,63.0474,126.095
54.0082,108.016,40.5789,81.1578,9.8124,19.6248
3.73649,7.47299,4.54586,9.09171,14.8931,29.7862
25.8653,51.7305,69.9285,139.857,89.255,178.51
40.2261,80.4521,50.5787,101.157,80.9792,161.958
18.4042,36.8084,11.8758,23.7516,13.9873,27.9747
8.32601,16.652,39.7953,79.5907,29.6212,59.2425
93.0576,186.115,14.087,28.174,27.2945,54.5891
41.1935,82.387,52.5733,105.147,56.4676,112.935
37.2422,74.4845,68.3309,136.662,57.1473,114.295
23.4046,46.8092,59.8848,119.77,46.6656,93.3312
65.0893,130.179,14.5186,29.0373,9.4521,18.9042
32.1614,64.3228,17.4533,34.9066,57.6853,115.371
30.7702,61.5405,11.2658,22.5316,9.40444,18.8089
76.8764,153.753,21.162,42.324,8.09766,16.1953
96.1893,192.379,63.7425,127.485,30.4869,60.9737
48.2466,96.4933,0.182682,0.365363,85.2807,170.561
8.40009,16.8002,59.8879,119.776,52.1483,104.297
60.0699,120.14,38.5179,77.0359,68.8113,137.623
16.3065,32.613,12.6873,25.3745,39.2271,78.4541
53.5719,107.144,26.3165,52.633,38.1558,76.3116
16.4736,32.9471,13.7929,27.5859,37.0343,74.0685
28.8289,57.6578,51.7531,103.506,82.3078,164.616
86.8195,173.639,39.673,79.346,59.0867,118.173
96.3746,192.749,0.0717059,0.143412,94.8417,189.683
46.4034,92.8068,71.2201,142.44,3.9899,7.97979
15.4539,30.9079,12.1816,24.3632,57.1418,114.284
36.6707,73.3415,25.7219,51.4439,4.58134,9.16268
76.2565,152.513,64.6148,129.23,44.6029,89.2057
80.7696,161.539,5.03851,10.077,69.7076,139.415
65.3813,130.763,56.3559,112.712,17.4442,34.8885
28.7196,57.4392,94.296,188.592,29.4403,58.8807
79.3593,158.719,62.6864,125.373,12.2915,24.583
98.3334,196.667,56.0647,112.129,0.0535504,0.107101
3.21107,6.42214,31.8607,63.7214,92.4167,184.833
0.420036,0.840073,88.286,176.572,54.122,108.244
71.3125,142.625,53.8063,107.613,80.7805,161.561
5.25261,10.5052,26.3383,52.6767,75.3012,150.602
75.4659,150.932,87.6856,175.371,70.4712,140.942
60.3296,120.659,5.23498,10.47,90.4338,180.868
47.3191,94.6383,9.75119,19.5024,32.4251,64.8502
32.5758,65.1515,66.8833,133.767,1.67114,3.34227
29.8035,59.607,89.3801,178.76,19.2386,38.4771
96.0137,192.027,56.3776,112.755,87.2515,174.503
90.9467,181.893,50.5806,101.161,97.3266,194.653
79.5488,159.098,84.4356,168.871,20.0419,40.0838
37.2078,74.4156,0.335392,0.670784,96.0038,192.008
17.9567,35.9134,84.0323,168.065,67.0719,134.144
65.446,130.892,59.0106,118.021,67.1531,134.306
8.48928,16.9786,98.1806,196.361,8.71144,17.4229
55.2564,110.513,32.9589,65.9178,51.6009,103.202
83.4493,166.899,10.6466,21.2932,35.9234,71.8468
61.978,123.956,38.5958,77.1915,26.7654,53.5309
65.4588,130.918,55.3992,110.798,96.2547,192.509
50.4343,100.869,90.3199,180.64,85.5049,171.01
91.32,182.64,14.1276,28.2551,74.9722,149.944
62.6553,125.311,89.4235,178.847,26.0802,52.1603
25.7134,51.4268,27.1475,54.2949,90.7871,181.574
23.6961,47.3921,56.4885,112.977,67.7184,135.437
9.63194,19.2639,59.6965,119.393,74.3748,148.75
16.9688,33.9377,93.0007,186.001,15.826,31.652
85.484,170.968,89.6485,179.297,84.194,168.388
52.6152,105.23,4.18916,8.37831,41.6364,83.2729
28.6443,57.2886,49.3503,98.7006,73.0691,146.138
75.7139,151.428,67.4625,134.925,51.5317,103.063
42.6131,85.2261,76.6714,153.343,16.2364,32.4728
86.8411,173.682,33.3855,66.7711,36.0772,72.1544
96.8955,193.791,91.6541,183.308,80.1238,160.248
30.5115,61.023,0.589435,1.17887,19.9643,39.9287
55.6692,111.338,63.3549,126.71,3.04048,6.08096
3.18334,6.36669,47.4338,94.8675,16.6458,33.2916
44.6189,89.2379,6.95453,13.9091,83.3621,166.724
25.8195,51.639,33.5632,67.1264,27.6545,55.309
89.5383,179.077,71.2,142.4,96.4366,192.873
17.4618,34.9236,29.2598,58.5196,99.8434,199.687
55.7205,111.441,33.335,66.6699,30.6986,61.3971
30.9851,61.9702,33.905,67.8099,42.8175,85.635
6.68091,13.3618,90.2253,180.451,61.9053,123.811
83.2879,166.576,15.8539,31.7078,68.3274,136.655
69.3107,138.621,10.5923,21.1845,19.5904,39.1809
30.2537,60.5074,49.9277,99.8554,68.0443,136.089
52.7112,105.422,10.8729,21.7457,81.9979,163.996
76.7243,153.449,85.7918,171.584,75.5308,151.062
11.5259,23.0517,73.2768,146.554,49.293,98.586
77.4707,154.941,14.305,28.61,7.57676,15.1535
77.4801,154.96,11.2125,22.4249,30.3018,60.6036
68.0661,136.132,3.98865,7.9773,26.7985,53.5971
8.04622,16.0924,71.1434,142.287,9.17889,18.3578
1.2508,2.5016,86.014,172.028,84.2844,168.569
75.4635,150.927,88.1905,176.381,86.7011,173.402
8.89765,17.7953,64.7639,129.528,6.92237,13.8447
84.8689,169.738,3.21169,6.42337,17.2657,34.5314
77.3156,154.631,39.2992,78.5983,8.04728,16.0946
91.2866,182.573,63.4172,126.834,66.2702,132.54
83.8801,167.76,12.5711,25.1422,99.547,199.094
93.7709,187.542,89.2791,178.558,65.8169,131.634
82.1444,164.289,56.0406,112.081,18.5133,37.0265
61.4193,122.839,60.9571,121.914,18.606,37.212
32.6279,65.2558,70.8913,141.783,25.2509,50.5018
66.0386,132.077,34.6303,69.2606,61.866,123.732
60.4457,120.891,57.3386,114.677,90.0035,180.007
58.5123,117.025,62.0776,124.155,61.4408,122.882
56.0035,112.007,7.01948,14.039,74.6439,149.288
77.5037,155.007,49.7187,99.4374,55.9792,111.958
63.4172,126.834,61.3585,122.717,30.5731,61.1462
61.3158,122.632,10.6592,21.3183,38.7498,77.4996
44.39,88.7799,86.9052,173.81,54.7939,109.588
36.3588,72.7177,16.7819,33.5638,37.8437,75.6873
14.1699,28.3398,16.3634,32.7268,74.9654,149.931
63.8426,127.685,43.3168,86.6336,12.2743,24.5486
14.3349,28.6697,89.2693,178.539,17.7154,35.4309
65.0957,130.191,28.2122,56.4245,91.1414,182.283
40.0162,80.0324,52.8991,105.798,3.95285,7.90569
98.5871,197.174,34.1042,68.2083,59.8119,119.624
71.3148,142.63,52.8016,105.603,57.9063,115.813
74.4208,148.842,43.1981,86.3963,3.11313,6.22626
29.9882,59.9764,28.9385,57.8769,33.9289,67.8577
83.2831,166.566,96.4495,192.899,58.5324,117.065
66.0022,132.004,69.7646,139.529,16.8939,33.7878
17.3066,34.6131,78.051,156.102,7.78334,15.5667
30.0174,60.0348,0.509296,1.01859,45.275,90.55
25.9399,51.8798,67.731,135.462,26.9511,53.9021
65.2648,130.53,29.0955,58.1909,41.9672,83.9344
88.1692,176.338,29.8595,59.7191,45.5667,91.1334
46.6287,93.2574,89.5858,179.172,78.7862,157.572
96.2818,192.564,74.077,148.154,53.8468,107.694
29.0625,58.1251,88.4864,176.973,94.8078,189.616
1.22967,2.45933,59.9261,119.852,48.6536,97.3072
21.4992,42.9984,48.9442,97.8883,93.2135,186.427
74.3859,148.772,71.6453,143.291,94.9342,189.868
62.2785,124.557,11.163,22.3259,36.6519,73.3039
12.3214,24.6427,93.9253,187.851,20.7695,41.5389
84.6153,169.231,69.664,139.328,88.4817,176.963
21.3669,42.7338,68.39,136.78,70.3967,140.793
72.9847,145.969,53.9622,107.924,65.9139,131.828
17.5858,35.1716,56.1137,112.227,65.2967,130.593
20.8236,41.6472,82.5306,165.061,99.5057,199.011
5.0794,10.1588,86.2354,172.471,78.5741,157.148
64.711,129.422,66.1143,132.229,98.9757,197.951
93.916,187.832,39.1416,78.2832,12.7044,25.4089
11.3837,22.7674,6.814,13.628,29.1365,58.2729
88.7,177.4,53.0184,106.037,79.4302,158.86
89.3484,178.697,49.6305,99.2609,69.1931,138.386
