A,B,C
3.55836,7.11673,14.2335
4.49897,8.99794,17.9959
8.49539,16.9908,33.9815
9.39153,18.7831,37.5661
1.13229,2.26458,4.52916
6.27769,12.5554,25.1107
8.27726,16.5545,33.1091
8.73825,17.4765,34.953
4.46981,8.93961,17.8792
4.13553,8.27107,16.5421
1.34933,2.69867,5.39733
8.48704,16.9741,33.9482
4.75518,9.51037,19.0207
5.91998,11.84,23.6799
5.88495,11.7699,23.5398
7.45,14.9,29.8
2.10887,4.21774,8.43548
9.79074,19.5815,39.163
5.20014,10.4003,20.8006
6.67387,13.3477,26.6955
3.54929,7.09857,14.1971
8.25693,16.5139,33.0277
3.06986,6.13972,12.2794
0.143852,0.287704,0.575409
7.67672,15.3534,30.7069
0.767546,1.53509,3.07018
2.77771,5.55543,11.1109
7.50822,15.0164,30.0329
8.39764,16.7953,33.5906
9.93929,19.8786,39.7571
7.95177,15.9035,31.8071
1.95601,3.91201,7.82402
4.43826,8.87651,17.753
6.44716,12.8943,25.7886
1.34754,2.69507,5.39015
5.57055,11.1411,22.2822
2.72485,5.44969,10.8994
9.6248,19.2496,38.4992
4.3088,8.61759,17.2352
7.19465,14.3893,28.7786
3.76033,7.52067,15.0413
5.65813,11.3163,22.6325
5.68169,11.3634,22.7268
8.51552,17.031,34.0621
1.57811,3.15621,6.31243
1.56664,3.13328,6.26656
5.96552,11.931,23.8621
3.68698,7.37395,14.7479
1.35738,2.71477,5.42953
1.16566,2.33132,4.66264
0.360846,0.721693,1.44339
4.90667,9.81334,19.6267
9.42259,18.8452,37.6903
3.43071,6.86141,13.7228
5.05052,10.101,20.2021
7.09931,14.1986,28.3972
4.19825,8.39651,16.793
7.82823,15.6565,31.3129
4.60753,9.21505,18.4301
2.59589,5.19179,10.3836
7.76752,15.535,31.0701
2.5593,5.1186,10.2372
4.5519,9.1038,18.2076
2.20578,4.41155,8.82311
9.00646,18.0129,36.0258
5.89944,11.7989,23.5977
7.77632,15.5526,31.1053
1.7313,3.46261,6.92522
5.52424,11.0485,22.097
2.08512,4.17024,8.34049
8.92596,17.8519,35.7038
9.28457,18.5691,37.1383
7.74325,15.4865,30.973
4.60765,9.21529,18.4306
7.80009,15.6002,31.2004
9.32136,18.6427,37.2854
6.17429,12.3486,24.6971
3.76561,7.53122,15.0624
3.00833,6.01667,12.0333
7.53167,15.0633,30.1267
4.93127,9.86254,19.7251
3.36918,6.73836,13.4767
2.43834,4.87668,9.75335
4.35386,8.70771,17.4154
6.79989,13.5998,27.1995
7.48886,14.9777,29.9554
1.45316,2.90632,5.81265
0.99814,1.99628,3.99256
5.31709,10.6342,21.2684
6.06069,12.1214,24.2428
3.59404,7.18807,14.3761
3.08461,6.16922,12.3384
8.61999,17.24,34.48
8.14594,16.2919,32.5837
5.29039,10.5808,21.1616
7.62645,15.2529,30.5058
4.04537,8.09074,16.1815
3.06671,6.13343,12.2669
9.35775,18.7155,37.431
9.56961,19.1392,38.2784
