x,y,c
15,39,1
15,81,1
16,6,0
16,77,1
17,40,1
17,76,1
18,6,0
18,94,1
19,3,0
19,72,1
19,14,0
19,99,1
20,15,0
20,77,1
20,13,0
20,79,1
21,35,1
21,66,1
23,29,0
23,98,1
24,35,1
24,73,1
25,5,0
25,73,1
28,14,0
28,82,1
28,32,0
28,61,1
29,31,0
29,87,1
30,4,0
30,73,1
33,4,0
33,92,1
33,14,0
33,81,1
34,17,0
34,73,1
37,26,0
37,75,1
38,35,0
38,92,1
39,36,0
39,61,1
39,28,0
39,65,1
40,55,2
40,47,2
40,42,0
40,42,0
42,52,2
42,60,2
43,54,2
43,60,2
43,45,2
43,41,0
44,50,2
44,46,2
46,51,2
46,46,2
46,56,2
46,55,2
47,52,2
47,59,2
48,51,2
48,59,2
48,50,2
48,48,2
48,59,2
48,47,2
49,55,2
49,42,0
50,49,2
50,56,2
54,47,0
54,54,2
54,53,2
54,48,0
54,52,2
54,42,0
54,51,2
54,55,2
54,41,0
54,44,0
54,57,2
54,46,0
57,58,2
57,55,2
58,60,2
58,46,0
59,55,2
59,41,0
60,49,0
60,40,0
60,42,0
60,52,2
60,47,0
60,50,0
61,42,0
61,49,0
62,41,0
62,48,0
62,59,2
62,55,2
62,56,2
62,42,0
63,50,0
63,46,0
63,43,0
63,48,0
63,52,2
63,54,2
64,42,0
64,46,0
65,48,0
65,50,0
65,43,0
65,59,2
67,43,0
67,57,2
67,56,2
67,40,0
69,58,2
69,91,2
70,29,0
70,77,2
71,35,0
71,95,2
71,11,0
71,75,2
71,9,0
71,75,2
72,34,0
72,71,2
73,5,0
73,88,2
73,7,0
73,73,2
74,10,0
74,72,2
75,5,0
75,93,2
76,40,0
76,87,2
77,12,0
77,97,2
77,36,0
77,74,2
78,22,0
78,90,2
78,17,0
78,88,2
78,20,0
78,76,2
78,16,0
78,89,2
78,1,0
78,78,2
78,1,0
78,73,2
79,35,0
79,83,2
81,5,0
81,93,2
85,26,0
85,75,2
86,20,0
86,95,2
87,27,0
87,63,2
87,13,0
87,75,2
87,10,0
87,92,2
88,13,0
88,86,2
88,15,0
88,69,2
93,14,0
93,90,2
97,32,0
97,86,2
98,15,0
98,88,2
99,39,0
99,97,2
101,24,0
101,68,2
103,17,0
103,85,2
103,23,0
103,69,2
113,8,0
113,91,2
120,16,0
120,79,2
126,28,0
126,74,2
137,18,0
137,83,2
